Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Dürrenroth;3465;0;Dürrenroth;952;BE;7.7913711;47.0904932;de
Eriswil;4952;0;Eriswil;953;BE;7.8507261;47.0781173;de
Huttwil;4950;0;Huttwil;954;BE;7.8499539;47.1137204;de
Schwarzenbach (Huttwil);4953;0;Huttwil;954;BE;7.8324240;47.1063693;de
Lützelflüh-Goldbach;3432;0;Lützelflüh;955;BE;7.6844300;47.0014237;de
Ramsei;3435;0;Lützelflüh;955;BE;7.7084275;46.9984505;de
Ranflüh;3439;0;Lützelflüh;955;BE;7.7379472;46.9885595;de
Grünenmatt;3452;0;Lützelflüh;955;BE;7.7259257;47.0099572;de
Rüegsauschachen;3415;3;Rüegsau;956;BE;7.6606881;47.0182119;de
Rüegsau;3417;0;Rüegsau;956;BE;7.6745433;47.0247754;de
Rüegsbach;3418;0;Rüegsau;956;BE;7.6917505;47.0339295;de
Sumiswald;3454;0;Sumiswald;957;BE;7.7449920;47.0277714;de
Grünen;3455;0;Sumiswald;957;BE;7.7411215;47.0249367;de
Wasen im Emmental;3457;0;Sumiswald;957;BE;7.7971326;47.0430757;de
Heimisbach;3453;0;Trachselwald;958;BE;7.7609855;47.0120054;de
Trachselwald;3456;0;Trachselwald;958;BE;7.7432864;47.0170446;de
Schmidigen-Mühleweg;3464;0;Walterswil (BE);959;BE;7.7436425;47.0947367;de
Walterswil BE;4942;0;Walterswil (BE);959;BE;7.7764376;47.1128388;de
Wyssachen;4954;0;Wyssachen;960;BE;7.8244457;47.0791664;de
Attiswil;4536;0;Attiswil;971;BE;7.6161491;47.2504607;de
Berken;3376;2;Berken;972;BE;7.7059457;47.2257749;de
Bettenhausen;3366;0;Bettenhausen;973;BE;7.7182868;47.1733181;de
Bollodingen;3366;2;Bettenhausen;973;BE;7.7056203;47.1661801;de
Farnern;4539;2;Farnern;975;BE;7.6177899;47.2669294;de
Graben;3376;0;Graben;976;BE;7.7178024;47.2152724;de
Wanzwil;3372;0;Heimenhausen;977;BE;7.6919994;47.1989046;de
Röthenbach Herzogenbuchsee;3373;0;Heimenhausen;977;BE;7.6834397;47.2066319;de
Heimenhausen;3373;2;Heimenhausen;977;BE;7.6979334;47.2136013;de
Herzogenbuchsee;3360;0;Herzogenbuchsee;979;BE;7.7143622;47.1945341;de
Oberönz;3363;0;Herzogenbuchsee;979;BE;7.6943151;47.1794349;de
Inkwil;3375;0;Inkwil;980;BE;7.6736762;47.2014089;de
Niederbipp;4704;0;Niederbipp;981;BE;7.7018281;47.2683908;de
Wolfisberg;4704;2;Niederbipp;981;BE;7.6599276;47.2748525;de
Niederönz;3362;0;Niederönz;982;BE;7.6914704;47.1843564;de
Oberbipp;4538;0;Oberbipp;983;BE;7.6567514;47.2600925;de
Ochlenberg;3367;2;Ochlenberg;985;BE;7.7360380;47.1499513;de
Oschwand;3476;0;Ochlenberg;985;BE;7.7130362;47.1405506;de
Rumisberg;4539;0;Rumisberg;987;BE;7.6397935;47.2656056;de
Grasswil;3365;0;Seeberg;988;BE;7.6701258;47.1440881;de
Seeberg;3365;2;Seeberg;988;BE;7.6643754;47.1562971;de
Riedtwil;3475;0;Seeberg;988;BE;7.6971408;47.1424076;de
Hermiswil;3475;1;Seeberg;988;BE;7.7005669;47.1559293;de
Thörigen;3367;0;Thörigen;989;BE;7.7297112;47.1749567;de
Walliswil b. Niederbipp;3380;2;Walliswil bei Niederbipp;990;BE;7.6917831;47.2373675;de
Walliswil b. Wangen;3377;0;Walliswil bei Wangen;991;BE;7.6828997;47.2288557;de
Wangen an der Aare;3380;0;Wangen an der Aare;992;BE;7.6610795;47.2316495;de
Wangenried;3374;0;Wangenried;993;BE;7.6556515;47.2171284;de
Wiedlisbach;4537;0;Wiedlisbach;995;BE;7.6479635;47.2469577;de
Doppleschwand;6112;0;Doppleschwand;1001;LU;8.0554500;47.0189242;de
Entlebuch;6162;0;Entlebuch;1002;LU;8.0647289;46.9922224;de
Rengg;6162;2;Entlebuch;1002;LU;8.0913059;47.0034652;de
Finsterwald b. Entlebuch;6162;3;Entlebuch;1002;LU;8.1023922;46.9734827;de
Ebnet;6163;0;Entlebuch;1002;LU;8.0771541;47.0217854;de
Flühli LU;6173;0;Flühli;1004;LU;8.0153818;46.8849054;de
Sörenberg;6174;0;Flühli;1004;LU;8.0322982;46.8233791;de
Hasle LU;6166;0;Hasle (LU);1005;LU;8.0513860;46.9801555;de
Fontannen b. Wolhusen;6110;2;Romoos;1007;LU;7.9859639;47.0259572;de
Romoos;6113;0;Romoos;1007;LU;8.0240178;47.0110018;de
Bramboden;6167;0;Romoos;1007;LU;7.9855262;46.9790344;de
Schüpfheim;6170;0;Schüpfheim;1008;LU;8.0197752;46.9531662;de
Schachen LU;6105;0;Werthenstein;1009;LU;8.1428120;47.0382905;de
Werthenstein;6106;0;Werthenstein;1009;LU;8.1034529;47.0543926;de
Escholzmatt;6182;0;Escholzmatt-Marbach;1010;LU;7.9347387;46.9139773;de
Wiggen;6192;0;Escholzmatt-Marbach;1010;LU;7.9097916;46.8954702;de
Marbach LU;6196;0;Escholzmatt-Marbach;1010;LU;7.9007326;46.8529108;de
Aesch LU;6287;0;Aesch (LU);1021;LU;8.2391199;47.2547097;de
Altwis;6286;0;Hitzkirch;1030;LU;8.2478216;47.2384618;de
Ballwil;6275;0;Ballwil;1023;LU;8.3207192;47.1522892;de
Emmenbrücke;6020;0;Emmen;1024;LU;8.2736872;47.0773024;de
Emmen;6032;0;Emmen;1024;LU;8.3024840;47.0790166;de
Ermensee;6294;0;Ermensee;1025;LU;8.2427563;47.2279003;de
Eschenbach LU;6274;0;Eschenbach (LU);1026;LU;8.3202919;47.1327752;de
Gelfingen;6284;0;Hitzkirch;1030;LU;8.2715342;47.2146113;de
Sulz LU;6284;2;Hitzkirch;1030;LU;8.2889279;47.2201154;de
Hitzkirch;6285;0;Hitzkirch;1030;LU;8.2643825;47.2252278;de
Retschwil;6285;2;Hitzkirch;1030;LU;8.2534823;47.1929098;de
Müswangen;6289;0;Hitzkirch;1030;LU;8.2891711;47.2383102;de
Hämikon;6289;2;Hitzkirch;1030;LU;8.2718858;47.2373282;de
Hämikon;6289;2;Hitzkirch;1030;LU;8.2999813;47.2431919;de
Mosen;6295;0;Hitzkirch;1030;LU;8.2277814;47.2428319;de
Hochdorf;6280;0;Hochdorf;1031;LU;8.2930297;47.1668920;de
Urswil;6280;2;Hochdorf;1031;LU;8.2930448;47.1495528;de
Baldegg;6283;0;Hochdorf;1031;LU;8.2804766;47.1856328;de
Hohenrain;6276;0;Hohenrain;1032;LU;8.3183497;47.1794865;de
Kleinwangen;6277;0;Hohenrain;1032;LU;8.2946453;47.1949245;de
Lieli LU;6277;2;Hohenrain;1032;LU;8.2987759;47.2097131;de
Inwil;6034;0;Inwil;1033;LU;8.3502808;47.1221948;de
Rain;6026;0;Rain;1037;LU;8.2631890;47.1297286;de
Römerswil LU;6027;0;Römerswil;1039;LU;8.2459160;47.1697130;de
Herlisberg;6028;0;Römerswil;1039;LU;8.2301082;47.1984401;de
Rothenburg;6023;0;Rothenburg;1040;LU;8.2730565;47.0939264;de
Schongau;6288;0;Schongau;1041;LU;8.2674600;47.2690977;de
Adligenswil;6043;0;Adligenswil;1051;LU;8.3650956;47.0705769;de
Buchrain;6033;0;Buchrain;1052;LU;8.3460137;47.0947667;de
Perlen;6035;0;Buchrain;1052;LU;8.3597831;47.1106363;de
Dierikon;6036;0;Dierikon;1053;LU;8.3718790;47.0973498;de
Ebikon;6030;0;Ebikon;1054;LU;8.3402231;47.0817911;de
Gisikon;6038;0;Gisikon;1055;LU;8.3992823;47.1271262;de
Greppen;6404;0;Greppen;1056;LU;8.4300569;47.0555073;de
Honau;6038;2;Honau;1057;LU;8.4062065;47.1328604;de
St. Niklausen LU;6005;2;Horw;1058;LU;8.3403913;47.0193261;de
Kastanienbaum;6047;0;Horw;1058;LU;8.3338155;47.0134386;de
Horw;6048;0;Horw;1058;LU;8.3126976;47.0191916;de
Kriens;6010;0;Kriens;1059;LU;8.2790952;47.0330040;de
Obernau;6012;0;Kriens;1059;LU;8.2534081;47.0321521;de
Luzern;6003;0;Luzern;1061;LU;8.2970143;47.0500654;de
Luzern;6004;0;Luzern;1061;LU;8.2980181;47.0603312;de
Luzern;6005;0;Luzern;1061;LU;8.3147556;47.0389999;de
Luzern;6006;0;Luzern;1061;LU;8.3443812;47.0529741;de
Luzern;6014;0;Luzern;1061;LU;8.2417330;47.0575869;de
Luzern;6015;0;Luzern;1061;LU;8.2778567;47.0637045;de
Malters;6102;0;Malters;1062;LU;8.1834419;47.0359441;de
Meggen;6045;0;Meggen;1063;LU;8.3720624;47.0464866;de
Meierskappel;6344;0;Meierskappel;1064;LU;8.4426832;47.1252862;de
Root;6037;0;Root;1065;LU;8.3915987;47.1142274;de
Root D4;6039;0;Root;1065;LU;8.3734674;47.1044258;de
Eigenthal;6013;0;Schwarzenberg;1066;LU;8.2192379;47.0070538;de
Schwarzenberg LU;6103;0;Schwarzenberg;1066;LU;8.1741963;47.0160845;de
Udligenswil;6044;0;Udligenswil;1067;LU;8.3992862;47.0911185;de
Vitznau;6354;0;Vitznau;1068;LU;8.4837861;47.0103757;de
Weggis;6353;0;Weggis;1069;LU;8.4343220;47.0326963;de
Rigi Kaltbad;6356;0;Weggis;1069;LU;8.4709849;47.0439523;de
Neudorf;6025;0;Beromünster;1081;LU;8.2098761;47.1766095;de
Beromünster;6215;0;Beromünster;1081;LU;8.1931463;47.2070218;de
Schwarzenbach LU;6215;2;Beromünster;1081;LU;8.2125487;47.2338767;de
Gunzwil;6222;0;Beromünster;1081;LU;8.1796565;47.2112338;de
Büron;6233;0;Büron;1082;LU;8.0909551;47.2147389;de
Buttisholz;6018;0;Buttisholz;1083;LU;8.0945755;47.1148615;de
Eich;6205;0;Eich;1084;LU;8.1695587;47.1529977;de
Geuensee;6232;0;Geuensee;1085;LU;8.1130133;47.2003605;de
Grosswangen;6022;0;Grosswangen;1086;LU;8.0500483;47.1332968;de
Hildisrieden;6024;0;Hildisrieden;1088;LU;8.2333774;47.1501011;de
St. Erhard;6212;0;Knutwil;1089;LU;8.0742159;47.1826814;de
Knutwil;6213;0;Knutwil;1089;LU;8.0727919;47.2016148;de
Kaltbach;6212;2;Mauensee;1091;LU;8.0588231;47.1837905;de
Mauensee;6216;0;Mauensee;1091;LU;8.0670318;47.1677399;de
Hellbühl;6016;0;Neuenkirch;1093;LU;8.1968548;47.0701391;de
Sempach Station;6203;0;Neuenkirch;1093;LU;8.1930215;47.1146281;de
Neuenkirch;6206;0;Neuenkirch;1093;LU;8.2035819;47.0999494;de
Nottwil;6207;0;Nottwil;1094;LU;8.1338400;47.1343712;de
Oberkirch LU;6208;0;Oberkirch;1095;LU;8.1153198;47.1585200;de
Pfeffikon LU;5735;0;Rickenbach (LU);1097;LU;8.1776180;47.2497775;de
Rickenbach LU;6221;0;Rickenbach (LU);1097;LU;8.1529543;47.2198456;de
Ruswil;6017;0;Ruswil;1098;LU;8.1266590;47.0851156;de
Sigigen;6019;0;Ruswil;1098;LU;8.1351322;47.0633446;de
Schenkon;6214;0;Schenkon;1099;LU;8.1355213;47.1732539;de
Schlierbach;6231;0;Schlierbach;1100;LU;8.1099733;47.2260054;de
Sempach;6204;0;Sempach;1102;LU;8.1990403;47.1330150;de
Sursee;6210;0;Sursee;1103;LU;8.1094165;47.1733217;de
Triengen;6234;0;Triengen;1104;LU;8.0773366;47.2340761;de
Kulmerau;6234;1;Triengen;1104;LU;8.0874488;47.2549723;de
Winikon;6235;0;Triengen;1104;LU;8.0492994;47.2372776;de
Wilihof;6236;0;Triengen;1104;LU;8.0639536;47.2233146;de
Wolhusen;6110;0;Wolhusen;1107;LU;8.0747918;47.0597403;de
Steinhuserberg;6114;0;Wolhusen;1107;LU;8.0464107;47.0429567;de
Alberswil;6248;0;Alberswil;1121;LU;7.9972248;47.1496273;de
Altbüron;6147;0;Altbüron;1122;LU;7.8824145;47.1799151;de
Ebersecken;6245;0;Altishofen;1123;LU;7.9328765;47.1826230;de
Altishofen;6246;0;Altishofen;1123;LU;7.9603575;47.2015878;de
Buchs LU;6211;1;Dagmersellen;1125;LU;8.0371263;47.2009020;de
Dagmersellen;6252;0;Dagmersellen;1125;LU;7.9903327;47.2141831;de
Uffikon;6253;0;Dagmersellen;1125;LU;8.0182670;47.2113567;de
Egolzwil;6243;0;Egolzwil;1127;LU;8.0063607;47.1854644;de
Kottwil;6217;0;Ettiswil;1128;LU;8.0451020;47.1627731;de
Ettiswil;6218;0;Ettiswil;1128;LU;8.0144992;47.1485361;de
Fischbach LU;6145;0;Fischbach;1129;LU;7.9078543;47.1560943;de
Gettnau;6142;0;Willisau;1151;LU;7.9700041;47.1421668;de
Grossdietwil;6146;0;Grossdietwil;1131;LU;7.8885874;47.1715398;de
Hergiswil b. Willisau;6133;0;Hergiswil bei Willisau;1132;LU;7.9591823;47.0858971;de
Hofstatt;6154;0;Luthern;1135;LU;7.9150587;47.0847454;de
Luthern;6156;0;Luthern;1135;LU;7.9164044;47.0591102;de
Luthern Bad;6156;2;Luthern;1135;LU;7.9271421;47.0281486;de
Menznau;6122;0;Menznau;1136;LU;8.0393284;47.0840327;de
Geiss;6123;0;Menznau;1136;LU;8.0560080;47.0902305;de
Menzberg;6125;0;Menznau;1136;LU;7.9982921;47.0411903;de
Nebikon;6244;0;Nebikon;1137;LU;7.9746588;47.1912290;de
St. Urban;4915;0;Pfaffnau;1139;LU;7.8397220;47.2324134;de
Pfaffnau;6264;0;Pfaffnau;1139;LU;7.8983011;47.2285406;de
Reiden;6260;0;Reiden;1140;LU;7.9721707;47.2435428;de
Reidermoos;6260;2;Reiden;1140;LU;7.9900775;47.2545198;de
Mehlsecken;6260;4;Reiden;1140;LU;7.9591227;47.2454771;de
Langnau b. Reiden;6262;0;Reiden;1140;LU;7.9632071;47.2311130;de
Richenthal;6263;0;Reiden;1140;LU;7.9464154;47.2193818;de
Roggliswil;6265;0;Roggliswil;1142;LU;7.8862765;47.2120878;de
Ohmstal;6143;0;Schötz;1143;LU;7.9511835;47.1630586;de
Schötz;6247;0;Schötz;1143;LU;7.9889800;47.1694185;de
Ufhusen;6153;0;Ufhusen;1145;LU;7.8999813;47.1175659;de
Wauwil;6242;0;Wauwil;1146;LU;8.0225830;47.1862936;de
Wikon;4806;0;Wikon;1147;LU;7.9671944;47.2632200;de
Hintermoos;6260;3;Wikon;1147;LU;7.9984502;47.2701300;de
Zell LU;6144;0;Zell (LU);1150;LU;7.9226438;47.1400104;de
Hüswil;6152;0;Zell (LU);1150;LU;7.9025483;47.1278821;de
Daiwil;6126;0;Willisau;1151;LU;8.0128023;47.0970979;de
Willisau;6130;0;Willisau;1151;LU;7.9896828;47.1199334;de
Rohrmatt;6132;0;Willisau;1151;LU;7.9850475;47.0822894;de
Altdorf UR;6460;0;Altdorf (UR);1201;UR;8.6422590;46.8833248;de
Andermatt;6490;0;Andermatt;1202;UR;8.5973709;46.6318374;de
Attinghausen;6468;0;Attinghausen;1203;UR;8.6239798;46.8649708;de
Bauen;6466;0;Seedorf (UR);1214;UR;8.5776564;46.9351428;de
Bürglen UR;6463;0;Bürglen (UR);1205;UR;8.6624520;46.8752085;de
Erstfeld;6472;0;Erstfeld;1206;UR;8.6503722;46.8203120;de
Flüelen;6454;0;Flüelen;1207;UR;8.6286448;46.9053764;de
Göschenen;6487;0;Göschenen;1208;UR;8.5839018;46.6696027;de
Intschi;6476;0;Gurtnellen;1209;UR;8.6497298;46.7604617;de
Gurtnellen;6482;0;Gurtnellen;1209;UR;8.6284669;46.7380025;de
Hospental;6493;0;Hospental;1210;UR;8.5727358;46.6191351;de
Isenthal;6461;0;Isenthal;1211;UR;8.5609968;46.9118137;de
Realp;6491;0;Realp;1212;UR;8.5018815;46.5987481;de
Schattdorf;6467;0;Schattdorf;1213;UR;8.6588956;46.8640655;de
Haldi b. Schattdorf;6469;0;Schattdorf;1213;UR;8.6750319;46.8618319;de
Seedorf UR;6462;0;Seedorf (UR);1214;UR;8.6106067;46.8840331;de
Seelisberg;6377;0;Seelisberg;1215;UR;8.5856539;46.9736587;de
Rütli;6441;2;Seelisberg;1215;UR;8.5928559;46.9686683;de
Silenen;6473;0;Silenen;1216;UR;8.6727563;46.7918633;de
Amsteg;6474;0;Silenen;1216;UR;8.6707179;46.7706670;de
Bristen;6475;0;Silenen;1216;UR;8.6910426;46.7693855;de
Sisikon;6452;0;Sisikon;1217;UR;8.6235851;46.9480757;de
Spiringen;6464;0;Spiringen;1218;UR;8.7284078;46.8710129;de
Urnerboden;8751;0;Spiringen;1218;UR;8.9024037;46.8889650;de
Unterschächen;6465;0;Unterschächen;1219;UR;8.7684164;46.8612119;de
Wassen UR;6484;0;Wassen;1220;UR;8.5957036;46.7063639;de
Meien;6485;0;Wassen;1220;UR;8.5494134;46.7257087;de
Bennau;8836;0;Einsiedeln;1301;SZ;8.7299049;47.1485946;de
Einsiedeln;8840;0;Einsiedeln;1301;SZ;8.7498119;47.1283694;de
Trachslau;8840;2;Einsiedeln;1301;SZ;8.7254125;47.0977964;de
Gross;8841;0;Einsiedeln;1301;SZ;8.7764523;47.1158723;de
Euthal;8844;0;Einsiedeln;1301;SZ;8.8164099;47.0957436;de
Willerzell;8846;0;Einsiedeln;1301;SZ;8.7941078;47.1298463;de
Egg SZ;8847;0;Einsiedeln;1301;SZ;8.7806342;47.1613104;de
Rigi Scheidegg;6410;5;Gersau;1311;SZ;8.5209704;47.0272837;de
Gersau;6442;0;Gersau;1311;SZ;8.5270209;46.9928327;de
Schindellegi;8834;0;Feusisberg;1321;SZ;8.7127010;47.1743757;de
Feusisberg;8835;0;Feusisberg;1321;SZ;8.7477522;47.1877226;de
Hurden;8640;3;Freienbach;1322;SZ;8.8058475;47.2142850;de
Bäch SZ;8806;0;Freienbach;1322;SZ;8.7326780;47.2039124;de
Freienbach;8807;0;Freienbach;1322;SZ;8.7605367;47.2053274;de
Pfäffikon SZ;8808;0;Freienbach;1322;SZ;8.7779847;47.2003788;de
Wollerau;8832;0;Freienbach;1322;SZ;8.7524570;47.1962450;de
Wilen b. Wollerau;8832;2;Freienbach;1322;SZ;8.7346169;47.1970035;de
Wollerau;8832;0;Wollerau;1323;SZ;8.7188534;47.1959658;de
Merlischachen;6402;0;Küssnacht (SZ);1331;SZ;8.4080485;47.0663780;de
Küssnacht am Rigi;6403;0;Küssnacht (SZ);1331;SZ;8.4400806;47.0803950;de
Immensee;6405;0;Küssnacht (SZ);1331;SZ;8.4614570;47.0956963;de
Altendorf;8852;0;Altendorf;1341;SZ;8.8308901;47.1919550;de
Galgenen;8854;2;Galgenen;1342;SZ;8.8741868;47.1823128;de
Innerthal;8858;0;Innerthal;1343;SZ;8.9192269;47.1062110;de
Lachen SZ;8853;0;Lachen;1344;SZ;8.8578231;47.1974553;de
Reichenburg;8864;0;Reichenburg;1345;SZ;8.9742029;47.1714448;de
Siebnen;8854;0;Schübelbach;1346;SZ;8.8971427;47.1761568;de
Schübelbach;8862;0;Schübelbach;1346;SZ;8.9281753;47.1732437;de
Buttikon SZ;8863;0;Schübelbach;1346;SZ;8.9533371;47.1737621;de
Tuggen;8856;0;Tuggen;1347;SZ;8.9404982;47.2034712;de
Vorderthal;8857;0;Vorderthal;1348;SZ;8.8995380;47.1227362;de
Wangen SZ;8855;0;Wangen (SZ);1349;SZ;8.8955946;47.1927364;de
Alpthal;8849;0;Alpthal;1361;SZ;8.7161680;47.0707258;de
Goldau;6410;0;Arth;1362;SZ;8.5448980;47.0466123;de
Rigi Klösterli;6410;2;Arth;1362;SZ;8.4857250;47.0435095;de
Rigi Staffel;6410;3;Arth;1362;SZ;8.4752884;47.0536925;de
Rigi Kulm;6410;4;Arth;1362;SZ;8.4828822;47.0551801;de
Oberarth;6414;0;Arth;1362;SZ;8.5336254;47.0560894;de
Arth;6415;0;Arth;1362;SZ;8.5231392;47.0635921;de
Illgau;6434;0;Illgau;1363;SZ;8.7233234;46.9876180;de
Brunnen;6440;0;Ingenbohl;1364;SZ;8.6052641;46.9944038;de
Lauerz;6424;0;Lauerz;1365;SZ;8.5800713;47.0354012;de
Stoos SZ;6433;0;Morschach;1366;SZ;8.6645572;46.9804544;de
Morschach;6443;0;Morschach;1366;SZ;8.6203762;46.9816329;de
Muotathal;6436;0;Muotathal;1367;SZ;8.7599358;46.9775399;de
Bisisthal;6436;2;Muotathal;1367;SZ;8.8314337;46.9439288;de
Ried (Muotathal);6436;3;Muotathal;1367;SZ;8.7139076;46.9863737;de
Oberiberg;8843;0;Oberiberg;1368;SZ;8.7864794;47.0417017;de
Riemenstalden;6452;2;Riemenstalden;1369;SZ;8.6663559;46.9469917;de
Rothenthurm;6418;0;Rothenthurm;1370;SZ;8.6751380;47.1050704;de
Sattel;6417;0;Sattel;1371;SZ;8.6377507;47.0837464;de
Seewen SZ;6423;0;Schwyz;1372;SZ;8.6308940;47.0297615;de
Schwyz;6430;0;Schwyz;1372;SZ;8.6536761;47.0213576;de
Rickenbach b. Schwyz;6432;0;Schwyz;1372;SZ;8.6658411;47.0164034;de
Ibach;6438;0;Schwyz;1372;SZ;8.6448870;47.0128536;de
Steinen;6422;0;Steinen;1373;SZ;8.6131790;47.0500776;de
Steinerberg;6416;0;Steinerberg;1374;SZ;8.5853081;47.0520823;de
Unteriberg;8842;0;Unteriberg;1375;SZ;8.8032495;47.0563718;de
Studen SZ;8845;0;Unteriberg;1375;SZ;8.8337291;47.0733924;de
Pilatus Kulm;6010;2;Alpnach;1401;OW;8.2547044;46.9792644;de
Alpnachstad;6053;0;Alpnach;1401;OW;8.2764095;46.9537256;de
Alpnach Dorf;6055;0;Alpnach;1401;OW;8.2718257;46.9410723;de
Grafenort;6388;0;Engelberg;1402;OW;8.3724012;46.8705073;de
Engelberg;6390;0;Engelberg;1402;OW;8.4037138;46.8162099;de
Giswil;6074;0;Giswil;1403;OW;8.1813049;46.8368641;de
Kerns;6064;0;Kerns;1404;OW;8.2802416;46.9019660;de
St. Niklausen OW;6066;0;Kerns;1404;OW;8.2832918;46.8745485;de
Melchtal;6067;0;Kerns;1404;OW;8.2927638;46.8338884;de
Melchsee-Frutt;6068;0;Kerns;1404;OW;8.2643095;46.7742375;de
Lungern;6078;0;Lungern;1405;OW;8.1589978;46.7825400;de
Bürglen OW;6078;2;Lungern;1405;OW;8.1660727;46.8120650;de
Sachseln;6072;0;Sachseln;1406;OW;8.2330383;46.8645516;de
Flüeli-Ranft;6073;0;Sachseln;1406;OW;8.2638286;46.8719601;de
Kägiswil;6056;0;Sarnen;1407;OW;8.2585785;46.9195127;de
Sarnen;6060;0;Sarnen;1407;OW;8.2495560;46.8935680;de
Ramersberg;6060;2;Sarnen;1407;OW;8.2314783;46.9000833;de
Wilen (Sarnen);6062;0;Sarnen;1407;OW;8.2240005;46.8818009;de
Stalden (Sarnen);6063;0;Sarnen;1407;OW;8.2086236;46.8873854;de
Beckenried;6375;0;Beckenried;1501;NW;8.4687468;46.9650886;de
Buochs;6374;0;Buochs;1502;NW;8.4200936;46.9713961;de
Dallenwil;6383;0;Dallenwil;1503;NW;8.3906578;46.9327638;de
Wiesenberg;6383;3;Dallenwil;1503;NW;8.3641225;46.9250431;de
Wirzweli;6383;4;Dallenwil;1503;NW;8.3651499;46.9133453;de
Emmetten;6376;0;Emmetten;1504;NW;8.5231242;46.9555804;de
Bürgenstock;6363;2;Ennetbürgen;1505;NW;8.3822953;46.9972276;de
Ennetbürgen;6373;0;Ennetbürgen;1505;NW;8.4144816;46.9848734;de
Ennetmoos;6372;0;Ennetmoos;1506;NW;8.3381189;46.9566968;de
Hergiswil NW;6052;0;Hergiswil (NW);1507;NW;8.3041650;46.9871495;de
Oberdorf NW;6370;41;Oberdorf (NW);1508;NW;8.3836550;46.9590316;de
Büren NW;6382;0;Oberdorf (NW);1508;NW;8.3979760;46.9402929;de
Niederrickenbach;6383;2;Oberdorf (NW);1508;NW;8.4368653;46.9213681;de
Stans;6370;0;Stans;1509;NW;8.3663683;46.9584260;de
Stansstad;6362;0;Stansstad;1510;NW;8.3395745;46.9765946;de
Obbürgen;6363;0;Stansstad;1510;NW;8.3604835;46.9815802;de
Fürigen;6363;1;Stansstad;1510;NW;8.3518630;46.9818956;de
Kehrsiten;6365;0;Stansstad;1510;NW;8.3698641;47.0010589;de
Wolfenschiessen;6386;0;Wolfenschiessen;1511;NW;8.3964907;46.9088102;de
Oberrickenbach;6387;0;Wolfenschiessen;1511;NW;8.4239859;46.8881341;de
Näfels;8752;0;Glarus Nord;1630;GL;9.0570863;47.1011189;de
Mollis;8753;0;Glarus Nord;1630;GL;9.0757560;47.0937012;de
Filzbach;8757;0;Glarus Nord;1630;GL;9.1312087;47.1204480;de
Obstalden;8758;0;Glarus Nord;1630;GL;9.1511132;47.1175326;de
Bilten;8865;0;Glarus Nord;1630;GL;9.0248590;47.1501399;de
Niederurnen;8867;0;Glarus Nord;1630;GL;9.0529370;47.1257118;de
Oberurnen;8868;0;Glarus Nord;1630;GL;9.0588160;47.1146193;de
Mühlehorn;8874;0;Glarus Nord;1630;GL;9.1726776;47.1173451;de
Mitlödi;8756;0;Glarus Süd;1631;GL;9.0790200;47.0104628;de
Schwanden GL;8762;0;Glarus Süd;1631;GL;9.0747780;46.9952216;de
Schwändi b. Schwanden;8762;2;Glarus Süd;1631;GL;9.0667248;47.0057068;de
Sool;8762;3;Glarus Süd;1631;GL;9.0857555;47.0007302;de
Engi;8765;0;Glarus Süd;1631;GL;9.1480774;46.9832554;de
Matt;8766;0;Glarus Süd;1631;GL;9.1701949;46.9632391;de
Elm;8767;0;Glarus Süd;1631;GL;9.1721593;46.9185991;de
Nidfurn;8772;0;Glarus Süd;1631;GL;9.0513498;46.9869167;de
Haslen GL;8773;0;Glarus Süd;1631;GL;9.0600569;46.9806911;de
Leuggelbach;8774;0;Glarus Süd;1631;GL;9.0410534;46.9767291;de
Luchsingen;8775;1;Glarus Süd;1631;GL;9.0357355;46.9666837;de
Hätzingen;8775;2;Glarus Süd;1631;GL;9.0404658;46.9614798;de
Diesbach GL;8777;0;Glarus Süd;1631;GL;9.0353949;46.9519296;de
Betschwanden;8777;2;Glarus Süd;1631;GL;9.0273807;46.9441351;de
Rüti GL;8782;0;Glarus Süd;1631;GL;9.0128762;46.9346075;de
Linthal;8783;0;Glarus Süd;1631;GL;9.0023531;46.9245897;de
Braunwald;8784;0;Glarus Süd;1631;GL;8.9981276;46.9406819;de
Glarus;8750;0;Glarus;1632;GL;9.0656658;47.0404677;de
Riedern;8750;2;Glarus;1632;GL;9.0472332;47.0490721;de
Klöntal;8750;3;Glarus;1632;GL;8.9423297;47.0255583;de
Netstal;8754;0;Glarus;1632;GL;9.0508623;47.0636365;de
Ennenda;8755;0;Glarus;1632;GL;9.0790138;47.0338320;de
Allenwinden;6319;0;Baar;1701;ZG;8.5509781;47.1645453;de
Baar;6340;0;Baar;1701;ZG;8.5228004;47.1932504;de
Cham;6330;0;Cham;1702;ZG;8.4596240;47.1792919;de
Hagendorn;6332;0;Cham;1702;ZG;8.4319236;47.2029366;de
Hünenberg;6331;0;Hünenberg;1703;ZG;8.4280226;47.1747198;de
Hünenberg See;6333;0;Hünenberg;1703;ZG;8.4503172;47.1692582;de
Menzingen;6313;0;Menzingen;1704;ZG;8.5903153;47.1787823;de
Menzingen;6313;0;Menzingen;1704;ZG;8.6366767;47.1706208;de
Edlibach;6313;2;Menzingen;1704;ZG;8.5714880;47.1797465;de
Finstersee;6313;3;Menzingen;1704;ZG;8.6297654;47.1671201;de
Sihlbrugg;6340;4;Neuheim;1705;ZG;8.5769832;47.2175640;de
